pair_id,repeat_id,base_instance_id,variant,plain_method_count,neutral_method_count,plain_final_result,neutral_final_result,plain_final_solved,neutral_final_solved,plain_final_decisions,neutral_final_decisions,plain_final_conflicts,neutral_final_conflicts,plain_final_cpu_time,neutral_final_cpu_time,final_cpu_time_delta,result_match,solved_match,decisions_match,conflicts_match,accepted,rejection_reason
repeat=0|base=dominating_set_hex_3x5_s3|variant=base,0,dominating_set_hex_3x5_s3,base,1,1,SATISFIABLE,SATISFIABLE,True,True,6,6,0,0,0.002344,0.002359,1.4999999999999823e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1730,0,dominating_set_hex_3x5_s3,perm_seed1730,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002166,0.002215,4.9e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1731,0,dominating_set_hex_3x5_s3,perm_seed1731,1,1,SATISFIABLE,SATISFIABLE,True,True,5,5,0,0,0.002294,0.002308,1.4000000000000123e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1732,0,dominating_set_hex_3x5_s3,perm_seed1732,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.003048,0.002446,-0.0006020000000000001,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1733,0,dominating_set_hex_3x5_s3,perm_seed1733,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002143,0.002229,8.600000000000014e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1734,0,dominating_set_hex_3x5_s3,perm_seed1734,1,1,SATISFIABLE,SATISFIABLE,True,True,5,5,1,1,0.002287,0.002307,2.0000000000000052e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1735,0,dominating_set_hex_3x5_s3,perm_seed1735,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002278,0.002287,8.999999999999894e-06,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1736,0,dominating_set_hex_3x5_s3,perm_seed1736,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002148,0.002168,1.999999999999962e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1737,0,dominating_set_hex_3x5_s3,perm_seed1737,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002325,0.002192,-0.00013299999999999987,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1738,0,dominating_set_hex_3x5_s3,perm_seed1738,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002135,0.003679,0.0015439999999999998,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1739,0,dominating_set_hex_3x5_s3,perm_seed1739,1,1,SATISFIABLE,SATISFIABLE,True,True,10,10,2,2,0.002289,0.002279,-9.999999999999593e-06,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1740,0,dominating_set_hex_3x5_s3,perm_seed1740,1,1,SATISFIABLE,SATISFIABLE,True,True,2,2,0,0,0.002263,0.002375,0.00011200000000000012,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1741,0,dominating_set_hex_3x5_s3,perm_seed1741,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002183,0.002654,0.00047100000000000006,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1742,0,dominating_set_hex_3x5_s3,perm_seed1742,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002287,0.002279,-7.99999999999976e-06,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1743,0,dominating_set_hex_3x5_s3,perm_seed1743,1,1,SATISFIABLE,SATISFIABLE,True,True,6,6,0,0,0.002256,0.002266,9.999999999999593e-06,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1744,0,dominating_set_hex_3x5_s3,perm_seed1744,1,1,SATISFIABLE,SATISFIABLE,True,True,1,1,0,0,0.002287,0.002457,0.00017,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x5_s3|variant=perm_seed1745,0,dominating_set_hex_3x5_s3,perm_seed1745,1,1,SATISFIABLE,SATISFIABLE,True,True,5,5,1,1,0.002216,0.002188,-2.8000000000000247e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x6_s4|variant=base,0,dominating_set_hex_3x6_s4,base,1,1,SATISFIABLE,SATISFIABLE,True,True,8,8,0,0,0.038421,0.039612,0.0011910000000000046,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x6_s4|variant=perm_seed1730,0,dominating_set_hex_3x6_s4,perm_seed1730,1,1,SATISFIABLE,SATISFIABLE,True,True,7,7,0,0,0.0413,0.042656,0.001355999999999996,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x6_s4|variant=perm_seed1731,0,dominating_set_hex_3x6_s4,perm_seed1731,1,1,SATISFIABLE,SATISFIABLE,True,True,13,13,2,2,0.03987,0.040625,0.0007549999999999987,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x6_s4|variant=perm_seed1732,0,dominating_set_hex_3x6_s4,perm_seed1732,1,1,SATISFIABLE,SATISFIABLE,True,True,11,11,1,1,0.038367,0.039082,0.0007150000000000004,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x6_s4|variant=perm_seed1733,0,dominating_set_hex_3x6_s4,perm_seed1733,1,1,SATISFIABLE,SATISFIABLE,True,True,7,7,0,0,0.041118,0.040445,-0.000673,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x6_s4|variant=perm_seed1734,0,dominating_set_hex_3x6_s4,perm_seed1734,1,1,SATISFIABLE,SATISFIABLE,True,True,10,10,1,1,0.040488,0.040506,1.7999999999997185e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x6_s4|variant=perm_seed1735,0,dominating_set_hex_3x6_s4,perm_seed1735,1,1,SATISFIABLE,SATISFIABLE,True,True,5,5,0,0,0.04204,0.043116,0.0010760000000000006,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x6_s4|variant=perm_seed1736,0,dominating_set_hex_3x6_s4,perm_seed1736,1,1,SATISFIABLE,SATISFIABLE,True,True,12,12,0,0,0.040241,0.040841,0.0006000000000000033,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x6_s4|variant=perm_seed1737,0,dominating_set_hex_3x6_s4,perm_seed1737,1,1,SATISFIABLE,SATISFIABLE,True,True,8,8,1,1,0.04244,0.043005,0.000565000000000003,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x6_s4|variant=perm_seed1738,0,dominating_set_hex_3x6_s4,perm_seed1738,1,1,SATISFIABLE,SATISFIABLE,True,True,11,11,1,1,0.041357,0.041182,-0.0001749999999999946,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x6_s4|variant=perm_seed1739,0,dominating_set_hex_3x6_s4,perm_seed1739,1,1,SATISFIABLE,SATISFIABLE,True,True,11,11,2,2,0.039778,0.04007,0.0002920000000000006,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x6_s4|variant=perm_seed1740,0,dominating_set_hex_3x6_s4,perm_seed1740,1,1,SATISFIABLE,SATISFIABLE,True,True,8,8,0,0,0.039666,0.039738,7.200000000000262e-05,True,True,True,True,True,
repeat=0|base=dominating_set_hex_3x6_s4|variant=perm_seed1741,0,dominating_set_hex_3x6_s4,perm_seed1741,1,1,SATISFIABLE,SATISFIABLE,True,True,11,11,2,2,0.038794,0.039265,0.0004709999999999992,True,True,True,True,True,
